Country,CO2
Algeria,3.3
Argentina,4.5
Australia,16.9
Bangladesh,0.4
Brazil,3.3
Canada,14.7
China,6.2
Colombia,1.6
Congo,0.5
Egypt,2.6
Ethiopia,0.1
France,5.6
Germany,9.1
Ghana,0.4
India,1.7
Indonesia,1.8
Iran,7.7
Iraw,3.7
Italy,6.7
Japan,9.2
Kenya,0.3
North Korea,11.5
South Korea,2.9
Malaysia,7.7
Mexico,3.8
Moroco,1.6
Myanmar,0.2
Nepal,0.1
Nigeria,0.5
Pakistan,0.9
Peru,2.0
Phillipines,0.9 
Poland,8.3
Romania,3.9
Russia,12.2
Saudi Arabia,17.0 
South Africa,9.0
Spain,5.8
Sudan,0.3
Tanzania,0.2
Thailand,4.4
Turkey,4.1
Ukraine,6.6
United Kingdom,7.9
United States,17.6
Uzbekistan,3.7
Venezuela,6.9
Vietnam,1.7
