AL,23.6,3.3
AK,17.7,8.2
AZ,25.0,13.4
AR,20.7,4.8
CA,26.8,26.9
CO,23.9,9.6
CT,24.1,14.6
DE,23.6,9.4
DC,29.2,14.1
FL,25.9,21.0
GA,27.3,10.1
HI,25.5,18.7
ID,20.1,6.0
IL,27.9,14.1
IN,22.3,5.3
IA,18.2,5.5
KS,18.5,7.2
KY,22.4,3.8
LA,25.1,4.2
ME,22.3,3.5
MD,30.6,15.1
MA,26.6,17.4
MI,23.4,7.0
MN,22.0,8.6
MS,24.0,2.4
MO,22.9,4.2
MT,17.6,2.2
NE,17.7,7.2
NV,24.2,19.4
NH,24.6,6.1
NJ,29.1,22.8
NM,20.9,9.5
NY,30.9,22.8
NC,23.4,7.9
ND,15.5,4.7
OH,22.1,4.8
OK,20.0,6.0
OR,21.8,10.3
PA,25.0,7.2
RI,22.3,13.2
SC,22.9,5.1
SD,15.9,4.0
TN,23.5,5.1
TX,24.6,17.2
UT,20.8,8.6
VT,21.2,4.9
VA,26.9,12.5
WA,25.2,14.7
WV,25.6,1.5
WI,20.8,5.1
WY,17.9,3.0
