Rectangle,Width,Height,Area,Perimeter,Cluster,Strata
1,1,1,1,4,1,1
2,1,1,1,4,2,1
3,1,1,1,4,2,1
4,1,1,1,4,1,1
5,1,1,1,4,1,1
6,1,1,1,4,2,1
7,1,1,1,4,2,1
8,1,5,5,12,3,3
9,4,3,12,14,3,4
10,1,1,1,4,4,1
11,2,2,4,8,4,2
12,1,1,1,4,1,1
13,3,3,9,12,1,4
14,2,2,4,8,2,2
15,1,1,1,4,3,1
16,2,4,8,12,3,4
17,10,2,20,24,4,5
18,3,3,9,12,4,4
19,1,4,4,10,3,2
20,10,1,10,22,7,4
21,1,5,5,12,4,3
22,3,6,18,18,8,5
23,1,1,1,4,5,1
24,1,1,1,4,6,1
25,1,1,1,4,6,1
26,4,3,12,14,7,4
27,2,6,12,16,7,4
28,2,2,4,8,8,2
29,3,4,12,14,5,4
30,2,2,4,8,5,2
31,4,4,16,16,6,5
32,1,5,5,12,7,3
33,3,3,9,12,7,4
34,1,4,4,10,8,2
35,5,2,10,14,8,4
36,1,5,5,12,5,3
37,5,2,10,14,5,4
38,1,4,4,10,6,2
39,6,2,12,16,12,5
40,2,4,8,12,9,3
41,3,2,6,10,9,3
42,10,2,20,24,10,5
43,2,5,10,14,6,4
44,1,3,3,8,11,1
45,4,4,16,16,11,5
46,2,3,6,10,12,3
47,2,5,10,14,12,4
48,1,1,1,4,8,1
49,2,2,4,8,10,2
50,1,1,1,4,10,1
51,2,8,16,20,9,5
52,12,1,12,26,10,4
53,3,6,18,18,11,5
54,4,1,4,10,11,2
55,8,2,16,20,12,5
56,2,3,6,10,9,3
57,3,1,3,8,9,1
58,4,4,16,16,10,5
59,2,2,4,8,11,2
60,4,2,8,12,16,3
61,5,1,5,12,12,3
62,2,2,4,8,17,2
63,2,2,4,8,13,2
64,4,2,8,12,14,3
65,1,3,3,8,15,2
66,3,3,9,12,15,4
67,1,1,1,4,15,1
68,5,2,10,14,16,4
69,6,3,18,18,17,5
70,1,3,3,8,17,2
71,1,12,12,26,13,5
72,2,2,4,8,13,2
73,3,6,18,18,14,5
74,1,4,4,10,14,2
75,6,2,12,16,14,5
76,2,5,10,14,16,4
77,2,4,8,12,13,3
78,1,2,2,6,13,1
79,3,5,15,16,14,5
80,2,3,6,10,15,3
81,2,8,16,20,15,5
82,2,4,8,12,16,4
83,2,1,2,6,16,1
84,1,3,3,8,18,2
85,5,1,5,12,18,3
86,2,4,8,12,19,3
87,2,2,4,8,19,2
88,2,6,12,16,19,4
89,4,4,16,16,20,5
90,1,5,5,12,17,3
91,4,2,8,12,17,3
92,8,2,16,20,18,5
93,5,1,5,12,18,3
94,3,1,3,8,18,2
95,2,3,6,10,19,3
96,6,3,18,18,19,5
97,4,1,4,10,20,2
98,3,2,6,10,20,3
99,3,3,9,12,20,4
100,2,6,12,16,20,5
