Z,PDF,CDF
-4.00,0.000,0.000
-3.99,0.000,0.000
-3.98,0.000,0.000
-3.97,0.000,0.000
-3.96,0.000,0.000
-3.95,0.000,0.000
-3.94,0.000,0.000
-3.93,0.000,0.000
-3.92,0.000,0.000
-3.91,0.000,0.000
-3.90,0.000,0.000
-3.89,0.000,0.000
-3.88,0.000,0.000
-3.87,0.000,0.000
-3.86,0.000,0.000
-3.85,0.000,0.000
-3.84,0.000,0.000
-3.83,0.000,0.000
-3.82,0.000,0.000
-3.81,0.000,0.000
-3.80,0.000,0.000
-3.79,0.000,0.000
-3.78,0.000,0.000
-3.77,0.000,0.000
-3.76,0.000,0.000
-3.75,0.000,0.000
-3.74,0.000,0.000
-3.73,0.000,0.000
-3.72,0.000,0.000
-3.71,0.000,0.000
-3.70,0.000,0.000
-3.69,0.000,0.000
-3.68,0.001,0.000
-3.67,0.001,0.000
-3.66,0.001,0.000
-3.65,0.001,0.000
-3.64,0.001,0.000
-3.63,0.001,0.000
-3.62,0.001,0.000
-3.61,0.001,0.000
-3.60,0.001,0.000
-3.59,0.001,0.000
-3.58,0.001,0.000
-3.57,0.001,0.000
-3.56,0.001,0.000
-3.55,0.001,0.000
-3.54,0.001,0.000
-3.53,0.001,0.000
-3.52,0.001,0.000
-3.51,0.001,0.000
-3.50,0.001,0.000
-3.49,0.001,0.000
-3.48,0.001,0.000
-3.47,0.001,0.000
-3.46,0.001,0.000
-3.45,0.001,0.000
-3.44,0.001,0.000
-3.43,0.001,0.000
-3.42,0.001,0.000
-3.41,0.001,0.000
-3.40,0.001,0.000
-3.39,0.001,0.000
-3.38,0.001,0.000
-3.37,0.001,0.000
-3.36,0.001,0.000
-3.35,0.002,0.000
-3.34,0.002,0.000
-3.33,0.002,0.000
-3.32,0.002,0.001
-3.31,0.002,0.001
-3.30,0.002,0.001
-3.29,0.002,0.001
-3.28,0.002,0.001
-3.27,0.002,0.001
-3.26,0.002,0.001
-3.25,0.002,0.001
-3.24,0.002,0.001
-3.23,0.002,0.001
-3.22,0.002,0.001
-3.21,0.002,0.001
-3.20,0.002,0.001
-3.19,0.003,0.001
-3.18,0.003,0.001
-3.17,0.003,0.001
-3.16,0.003,0.001
-3.15,0.003,0.001
-3.14,0.003,0.001
-3.13,0.003,0.001
-3.12,0.003,0.001
-3.11,0.003,0.001
-3.10,0.003,0.001
-3.09,0.003,0.001
-3.08,0.004,0.001
-3.07,0.004,0.001
-3.06,0.004,0.001
-3.05,0.004,0.001
-3.04,0.004,0.001
-3.03,0.004,0.001
-3.02,0.004,0.001
-3.01,0.004,0.001
-3.00,0.004,0.001
-2.99,0.005,0.001
-2.98,0.005,0.001
-2.97,0.005,0.002
-2.96,0.005,0.002
-2.95,0.005,0.002
-2.94,0.005,0.002
-2.93,0.006,0.002
-2.92,0.006,0.002
-2.91,0.006,0.002
-2.90,0.006,0.002
-2.89,0.006,0.002
-2.88,0.006,0.002
-2.87,0.007,0.002
-2.86,0.007,0.002
-2.85,0.007,0.002
-2.84,0.007,0.002
